1003|32
1004|6
1005|8
1006|140
1007|9
1008|10
1009|15
1010|16
1011|23
1012|27
1013|28
1014|29
1015|33
1016|34
1017|35
1018|36
1019|38
1020|39
1021|43
1023|45
1024|46
1025|48
1026|49
1027|50
1028|51
1029|52
1030|55
1031|57
1032|53
1033|58
1034|60
1035|64
1036|63
1037|66
1038|67
1039|68
1040|69
1041|70
1042|71
1043|72
1044|74
1045|75
1047|77
1048|78
1050|81
1052|84
1053|85
1054|86
1055|88
1056|90
1057|91
1059|95
1060|96
1061|98
1062|100
1063|101
1064|102
1065|1
1066|104
1067|105
1068|108
1069|109
1070|111
1071|112
1072|113
1073|115
1074|117
1075|118
1076|119
1077|120
1078|121
1079|122
1080|123
1081|124
1082|125
1083|127
1085|130
1086|131
1087|133
1088|134
1089|135
1090|136
1091|141
1092|142
1093|143
1094|145
1096|149
1097|154
1098|155
1099|156
1100|24
1101|157
1102|161
1103|163
1104|3
1105|11
1106|164
1107|167
1109|21
1110|168
1112|170
1113|172
1115|174
1116|175
1117|18
1118|176
1119|177
1120|179
1121|181
1122|183
1123|185
1124|184
1125|186
1127|188
1129|189
2002|30
2003|31
2006|37
2008|41
2014|73
2016|89
2019|87
2022|99
2026|59
2029|14
2032|110
2034|113
2037|114
2038|116
2046|128
2047|132
2050|152
2051|158
2054|171
2061|187
2062|196
2064|26
2072|209
2075|213
2081|126
2083|12
2084|40
2086|94
2087|146
2092|19
2093|132
2095|17
2100|65
2102|25
2104|22
3001|61
3002|150
3003|206
3004|211
3007|83
3009|62
3012|138
3013|139
3014|151
3016|137
3017|160
3018|153
3020|180
4096|200
4099|215
